"geneticSexID","Ploidy_level","n_medium_trees","Cos.aspect","population_density_m2","size_mean","size_sd","site_code","site_type","year","replicate","lambda","X.UTM","Y.UTM","Watershed","Elevation","Slope","Canopy_openness","Summer.Insolation","Soil.type"
"F","Triploid",0,-0.638135178278322,0.127323954473516,25.5,6.99961767550515,"AMYT","grid",2018,1,0.92556379396772,324614.436217705,4308771.26796624,"Oh-be-Joyful Creek-Slate River",2810.17849414986,10.6609802149003,4,21.6388416290283,"Soil"
"F","Triploid",0,-0.638135178278322,0.127323954473516,25.5,6.99961767550515,"AMYT","grid",2018,2,0.902072091367456,324614.436217705,4308771.26796624,"Oh-be-Joyful Creek-Slate River",2810.17849414986,10.6609802149003,4,21.6388416290283,"Soil"
"F","Triploid",0,-0.638135178278322,0.127323954473516,25.5,6.99961767550515,"AMYT","grid",2018,3,0.892072211311351,324614.436217705,4308771.26796624,"Oh-be-Joyful Creek-Slate River",2810.17849414986,10.6609802149003,4,21.6388416290283,"Soil"
"F","Triploid",0,-0.638135178278322,0.127323954473516,25.5,6.99961767550515,"AMYT","grid",2018,4,0.874037987237198,324614.436217705,4308771.26796624,"Oh-be-Joyful Creek-Slate River",2810.17849414986,10.6609802149003,4,21.6388416290283,"Soil"
"F","Triploid",0,-0.638135178278322,0.127323954473516,25.5,6.99961767550515,"AMYT","grid",2018,5,0.944278165895477,324614.436217705,4308771.26796624,"Oh-be-Joyful Creek-Slate River",2810.17849414986,10.6609802149003,4,21.6388416290283,"Soil"
"F","Triploid",0,-0.638135178278322,0.127323954473516,25.5,6.99961767550515,"AMYT","grid",2018,6,0.910731487073457,324614.436217705,4308771.26796624,"Oh-be-Joyful Creek-Slate River",2810.17849414986,10.6609802149003,4,21.6388416290283,"Soil"
"F","Triploid",0,-0.638135178278322,0.127323954473516,25.5,6.99961767550515,"AMYT","grid",2018,7,0.900785763244404,324614.436217705,4308771.26796624,"Oh-be-Joyful Creek-Slate River",2810.17849414986,10.6609802149003,4,21.6388416290283,"Soil"
"F","Triploid",0,-0.638135178278322,0.127323954473516,25.5,6.99961767550515,"AMYT","grid",2018,8,0.93398718634,324614.436217705,4308771.26796624,"Oh-be-Joyful Creek-Slate River",2810.17849414986,10.6609802149003,4,21.6388416290283,"Soil"
"F","Triploid",0,-0.638135178278322,0.127323954473516,25.5,6.99961767550515,"AMYT","grid",2018,9,0.923551262936063,324614.436217705,4308771.26796624,"Oh-be-Joyful Creek-Slate River",2810.17849414986,10.6609802149003,4,21.6388416290283,"Soil"
"F","Triploid",0,-0.638135178278322,0.127323954473516,25.5,6.99961767550515,"AMYT","grid",2018,10,0.800263211467135,324614.436217705,4308771.26796624,"Oh-be-Joyful Creek-Slate River",2810.17849414986,10.6609802149003,4,21.6388416290283,"Soil"
